url,element,state,note,severity,screenshot_de,screenshot_en
"","locale:gallery.noResults","missing_in_en","Missing English translation","High","",""
"","locale:hero.subtitle","A legacy of custom tattoo artistry built over two and a half decades. Designed for life. Executed by masters.","ok","Medium","",""
"","locale:nav.faq","possibly_untranslated","Same string in both locales","Medium","",""
"https://www.muenchen-tattoo-studio.de/","title","identical_title","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_.png"
"https://www.muenchen-tattoo-studio.de/artists","title","identical_title","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_artists.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_artists.png"
"https://www.muenchen-tattoo-studio.de/artists","h1","identical_h1","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_artists.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_artists.png"
"https://www.muenchen-tattoo-studio.de/services","title","identical_title","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_services.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_services.png"
"https://www.muenchen-tattoo-studio.de/services","h1","identical_h1","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_services.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_services.png"
"https://www.muenchen-tattoo-studio.de/gallery","title","identical_title","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_gallery.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_gallery.png"
"https://www.muenchen-tattoo-studio.de/contact","title","identical_title","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_contact.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_contact.png"
"https://www.muenchen-tattoo-studio.de/contact","h1","identical_h1","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_contact.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_contact.png"
"https://www.muenchen-tattoo-studio.de/booking","title","identical_title","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_booking.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_booking.png"
"https://www.muenchen-tattoo-studio.de/aftercare","title","identical_title","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_aftercare.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_aftercare.png"
"https://www.muenchen-tattoo-studio.de/aftercare","h1","identical_h1","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_aftercare.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_aftercare.png"
"https://www.muenchen-tattoo-studio.de/faq","title","identical_title","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_faq.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_faq.png"
"https://www.muenchen-tattoo-studio.de/faq","h1","identical_h1","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_faq.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_faq.png"
"https://www.muenchen-tattoo-studio.de/impressum","title","identical_title","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_impressum.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_impressum.png"
"https://www.muenchen-tattoo-studio.de/impressum","h1","identical_h1","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_impressum.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_impressum.png"
"https://www.muenchen-tattoo-studio.de/datenschutz","title","identical_title","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_datenschutz.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_datenschutz.png"
"https://www.muenchen-tattoo-studio.de/datenschutz","h1","identical_h1","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_datenschutz.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_datenschutz.png"
"https://www.muenchen-tattoo-studio.de/agb","title","identical_title","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_agb.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_agb.png"
"https://www.muenchen-tattoo-studio.de/agb","h1","identical_h1","","High","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/de_www.muenchen-tattoo-studio.de_agb.png","/Volumes/Untitled 2/Work/CascadeProjects/Websites/archive /medusa/reports/locale-scan/screenshots/en_www.muenchen-tattoo-studio.de_agb.png"
"https://www.muenchen-tattoo-studio.de/booking","form.labels/placeholders","static_english","Booking form has static English labels and placeholders (not localized)","High","",""
